"Command","Description","URL"
"anacrontab(5)","configuration file for Anacron","./man5/anacrontab.5.html"
"apropos(1)","search the manual page names and descriptions","./man1/apropos.1.html"
"ar(1)","create, modify, and extract from archives","./man1/ar.1.html"
"arch_prctl(2)","set architecture-specific thread state","./man2/arch_prctl.2.html"
"argz(3)","functions to handle an argz list","./man3/argz.3.html"
"argz_add(3)","functions to handle an argz list","./man3/argz_add.3.html"
"argz_add_sep(3)","functions to handle an argz list","./man3/argz_add_sep.3.html"
"argz_append(3)","functions to handle an argz list","./man3/argz_append.3.html"
"argz_count(3)","functions to handle an argz list","./man3/argz_count.3.html"
"argz_create(3)","functions to handle an argz list","./man3/argz_create.3.html"
"argz_create_sep(3)","functions to handle an argz list","./man3/argz_create_sep.3.html"
"argz_delete(3)","functions to handle an argz list","./man3/argz_delete.3.html"
"argz_extract(3)","functions to handle an argz list","./man3/argz_extract.3.html"
"argz_insert(3)","functions to handle an argz list","./man3/argz_insert.3.html"
"argz_next(3)","functions to handle an argz list","./man3/argz_next.3.html"
"argz_replace(3)","functions to handle an argz list","./man3/argz_replace.3.html"
"argz_stringify(3)","functions to handle an argz list","./man3/argz_stringify.3.html"
"arm_fadvise(2)","predeclare an access pattern for file data","./man2/arm_fadvise.2.html"
"arm_fadvise64_64(2)","predeclare an access pattern for file data","./man2/arm_fadvise64_64.2.html"
"armscii-8(7)","Armenian character set encoded in octal, decimal, and hexadecimal","./man7/armscii-8.7.html"
"arm_sync_file_range(2)","sync a file segment with disk","./man2/arm_sync_file_range.2.html"
"arp(7)","Linux ARP kernel module.","./man7/arp.7.html"
"arp(8)","manipulate the system ARP cache","./man8/arp.8.html"
"arpd(8)","userspace arp daemon.","./man8/arpd.8.html"
"arping(8)","send ARP REQUEST to a neighbour host","./man8/arping.8.html"
"as(1)","the portable GNU assembler.","./man1/as.1.html"
"ascii(7)","ASCII character set encoded in octal, decimal, and hexadecimal","./man7/ascii.7.html"
"asctime(3)","transform date and time to broken-down time or ASCII","./man3/asctime.3.html"
"asctime_r(3)","transform date and time to broken-down time or ASCII","./man3/asctime_r.3.html"
"asin(3)","arc sine function","./man3/asin.3.html"
"asinf(3)","arc sine function","./man3/asinf.3.html"
"asinh(3)","inverse hyperbolic sine function","./man3/asinh.3.html"
"asinhf(3)","inverse hyperbolic sine function","./man3/asinhf.3.html"
"asinhl(3)","inverse hyperbolic sine function","./man3/asinhl.3.html"
"asinl(3)","arc sine function","./man3/asinl.3.html"
"asprintf(3)","print to allocated string","./man3/asprintf.3.html"
"assert(3)","abort the program if assertion is false","./man3/assert.3.html"
"assert_perror(3)","test errnum and abort","./man3/assert_perror.3.html"
"astraceroute(8)","autonomous system trace route utility","./man8/astraceroute.8.html"
"atan(3)","arc tangent function","./man3/atan.3.html"
"atan2(3)","arc tangent function of two variables","./man3/atan2.3.html"
"atan2f(3)","arc tangent function of two variables","./man3/atan2f.3.html"
"atan2l(3)","arc tangent function of two variables","./man3/atan2l.3.html"
"atanf(3)","arc tangent function","./man3/atanf.3.html"
"atanh(3)","inverse hyperbolic tangent function","./man3/atanh.3.html"
"atanhf(3)","inverse hyperbolic tangent function","./man3/atanhf.3.html"
"atanhl(3)","inverse hyperbolic tangent function","./man3/atanhl.3.html"
"atanl(3)","arc tangent function","./man3/atanl.3.html"
"atexit(3)","register a function to be called at normal process termination","./man3/atexit.3.html"
"atof(3)","convert a string to a double","./man3/atof.3.html"
"atoi(3)","convert a string to an integer","./man3/atoi.3.html"
"atol(3)","convert a string to an integer","./man3/atol.3.html"
"atoll(3)","convert a string to an integer","./man3/atoll.3.html"
"atoq(3)","convert a string to an integer","./man3/atoq.3.html"
"attr(1)","extended attributes on XFS filesystem objects","./man1/attr.1.html"
"attr(5)","Extended attributes","./man5/attr.5.html"
"attr_get(3)","get the value of a user attribute of a filesystem object","./man3/attr_get.3.html"
"attributes(7)","POSIX safety concepts","./man7/attributes.7.html"
"attr_list(3)","list the names of the user attributes of a filesystem object","./man3/attr_list.3.html"
"attr_multi(3)","manipulate multiple user attributes on a filesystem object at once","./man3/attr_multi.3.html"
"attr_remove(3)","remove a user attribute of a filesystem object","./man3/attr_remove.3.html"
"attr_set(3)","set the value of a user attribute of a filesystem object","./man3/attr_set.3.html"
"audispd-zos-remote(8)","z/OS Remote-services Audit dispatcher plugin","./man8/audispd-zos-remote.8.html"
"audispd(8)","an event multiplexor","./man8/audispd.8.html"
"audispd.conf(5)","the audit event dispatcher configuration file","./man5/audispd.conf.5.html"
"audit.rules(7)","a set of rules loaded in the kernel audit system","./man7/audit.rules.7.html"
"audit_add_rule_data(3)","Add new audit rule","./man3/audit_add_rule_data.3.html"
"audit_add_watch(3)","create a rule layout for a watch","./man3/audit_add_watch.3.html"
"auditctl(8)","a utility to assist controlling the kernel's audit system","./man8/auditctl.8.html"
"auditd(8)","The Linux Audit daemon","./man8/auditd.8.html"
"auditd.conf(5)","audit daemon configuration file","./man5/auditd.conf.5.html"
"audit_delete_rule_data(3)","Delete audit rule","./man3/audit_delete_rule_data.3.html"
"audit_detect_machine(3)","Detects the current machine type","./man3/audit_detect_machine.3.html"
"audit_encode_nv_string(3)","encode a name/value pair in a string","./man3/audit_encode_nv_string.3.html"
"audit_getloginuid(3)","Get a program's loginuid value","./man3/audit_getloginuid.3.html"
"audit_get_reply(3)","Get the audit system's reply","./man3/audit_get_reply.3.html"
"audit_log_acct_message(3)","log a user account message","./man3/audit_log_acct_message.3.html"
"audit_log_semanage_message(3)","log a semanage message","./man3/audit_log_semanage_message.3.html"
"audit_log_user_avc_message(3)","log a user avc message","./man3/audit_log_user_avc_message.3.html"
"audit_log_user_command(3)","log a user command","./man3/audit_log_user_command.3.html"
"audit_log_user_comm_message(3)","log a user message from a console app","./man3/audit_log_user_comm_message.3.html"
"audit_log_user_message(3)","log a general user message","./man3/audit_log_user_message.3.html"
"audit_open(3)","Open a audit netlink socket connection","./man3/audit_open.3.html"
"audit_request_rules_list_data(3)","Request list of current audit rules","./man3/audit_request_rules_list_data.3.html"
"audit_request_signal_info(3)","Request signal info for the audit system","./man3/audit_request_signal_info.3.html"
"audit_request_status(3)","Request status of the audit system","./man3/audit_request_status.3.html"
"audit_set_backlog_limit(3)","Set the audit backlog limit","./man3/audit_set_backlog_limit.3.html"
"audit_set_backlog_wait_time(3)","Set the audit backlog wait time","./man3/audit_set_backlog_wait_time.3.html"
"audit_set_enabled(3)","Enable or disable auditing","./man3/audit_set_enabled.3.html"
"audit_set_failure(3)","Set audit failure flag","./man3/audit_set_failure.3.html"
"audit_setloginuid(3)","Set a program's loginuid value","./man3/audit_setloginuid.3.html"
"audit_set_pid(3)","Set audit daemon process ID","./man3/audit_set_pid.3.html"
"audit_set_rate_limit(3)","Set audit rate limit","./man3/audit_set_rate_limit.3.html"
"audit_update_watch_perms(3)","update permissions field of watch command","./man3/audit_update_watch_perms.3.html"
"augenrules(8)","a script that merges component audit rule files","./man8/augenrules.8.html"
"auparse_add_callback(3)","add a callback handler for notifications","./man3/auparse_add_callback.3.html"
"auparse_destroy(3)","release instance of parser","./man3/auparse_destroy.3.html"
"auparse_feed(3)","feed data into parser","./man3/auparse_feed.3.html"
"auparse_feed_has_data(3)","check if there is any data accumulating that might need flushing.","./man3/auparse_feed_has_data.3.html"
"auparse_find_field(3)","search for field name","./man3/auparse_find_field.3.html"
"auparse_find_field_next(3)","find next occurrance of field name","./man3/auparse_find_field_next.3.html"
"auparse_first_field(3)","reposition field cursor","./man3/auparse_first_field.3.html"
"auparse_first_record(3)","reposition record cursor","./man3/auparse_first_record.3.html"
"auparse_flush_feed(3)","flush any unconsumed feed data through parser.","./man3/auparse_flush_feed.3.html"
"auparse_get_field_int(3)","get current field's value as an int","./man3/auparse_get_field_int.3.html"
"auparse_get_field_name(3)","get current field's name","./man3/auparse_get_field_name.3.html"
"auparse_get_field_str(3)","get current field's value","./man3/auparse_get_field_str.3.html"
"auparse_get_field_type(3)","get current field's data type","./man3/auparse_get_field_type.3.html"
"auparse_get_filename(3)","get the filename where record was found","./man3/auparse_get_filename.3.html"
"auparse_get_line_number(3)","get line number where record was found","./man3/auparse_get_line_number.3.html"
"auparse_get_milli(3)","get the millisecond value of the event","./man3/auparse_get_milli.3.html"
"auparse_get_node(3)","get the event's machine node name","./man3/auparse_get_node.3.html"
"auparse_get_num_fields(3)","get the number of fields","./man3/auparse_get_num_fields.3.html"
"auparse_get_num_records(3)","get the number of records","./man3/auparse_get_num_records.3.html"
"auparse_get_record_text(3)","access unparsed record data","./man3/auparse_get_record_text.3.html"
"auparse_get_serial(3)","get the event's serial number","./man3/auparse_get_serial.3.html"
"auparse_get_time(3)","get event's time","./man3/auparse_get_time.3.html"
"auparse_get_timestamp(3)","access timestamp of the event","./man3/auparse_get_timestamp.3.html"
"auparse_get_type(3)","get record's type","./man3/auparse_get_type.3.html"
"auparse_goto_record_num(3)","move record cursor to specific record","./man3/auparse_goto_record_num.3.html"
"auparse_init(3)","initialize an instance of the audit parsing library","./man3/auparse_init.3.html"
"auparse_interpret_field(3)","get current field's value interpreted","./man3/auparse_interpret_field.3.html"
"auparse_next_event(3)","get the next event","./man3/auparse_next_event.3.html"
"auparse_next_field(3)","move field cursor","./man3/auparse_next_field.3.html"
"auparse_next_record(3)","move record cursor","./man3/auparse_next_record.3.html"
"auparse_node_compare(3)","compares node name values","./man3/auparse_node_compare.3.html"
"auparse_reset(3)","reset audit parser instance","./man3/auparse_reset.3.html"
"auparse_timestamp_compare(3)","compares timestamp values","./man3/auparse_timestamp_compare.3.html"
"aureport(8)","a tool that produces summary reports of audit daemon logs","./man8/aureport.8.html"
"ausearch-expression(5)","audit search expression format","./man5/ausearch-expression.5.html"
"ausearch(8)","a tool to query audit daemon logs","./man8/ausearch.8.html"
"ausearch_add_expression(3)","build up search expression","./man3/ausearch_add_expression.3.html"
"ausearch_add_interpreted_item(3)","build up search rule","./man3/ausearch_add_interpreted_item.3.html"
"ausearch_add_item(3)","build up search rule","./man3/ausearch_add_item.3.html"
"ausearch_add_regex(3)","use regular expression search rule","./man3/ausearch_add_regex.3.html"
"ausearch_add_timestamp_item(3)","build up search rule","./man3/ausearch_add_timestamp_item.3.html"
"ausearch_add_timestamp_item_ex(3)","build up search rule","./man3/ausearch_add_timestamp_item_ex.3.html"
"ausearch_clear(3)","clear search parameters","./man3/ausearch_clear.3.html"
"ausearch_next_event(3)","find the next event that meets search criteria","./man3/ausearch_next_event.3.html"
"ausearch_set_stop(3)","set the cursor position","./man3/ausearch_set_stop.3.html"
"auth_destroy(3)","library routines for remote procedure calls","./man3/auth_destroy.3.html"
"authnone_create(3)","library routines for remote procedure calls","./man3/authnone_create.3.html"
"authunix_create(3)","library routines for remote procedure calls","./man3/authunix_create.3.html"
"authunix_create_default(3)","library routines for remote procedure calls","./man3/authunix_create_default.3.html"
"auto.master(5)","Master Map for automounter","./man5/auto.master.5.html"
"autofs(5)","Format of the automounter maps","./man5/autofs.5.html"
"autofs(8)","Service control for the automounter","./man8/autofs.8.html"
"autofs.conf(5)","autofs configuration","./man5/autofs.conf.5.html"
"autofsd-probe(1)","probe AutoFS mount/unmount daemon","./man1/autofsd-probe.1.html"
"autofs_ldap_auth.conf(5)","autofs LDAP authentication configuration","./man5/autofs_ldap_auth.conf.5.html"
"automount(8)","manage autofs mount points","./man8/automount.8.html"
"autopoint(1)","copies standard gettext infrastructure","./man1/autopoint.1.html"
"autrace(8)","a program similar to strace","./man8/autrace.8.html"
"avc_add_callback(3)","additional event notification for SELinux userspace object managers","./man3/avc_add_callback.3.html"
"avc_audit(3)","obtain and audit SELinux access decisions","./man3/avc_audit.3.html"
"avc_av_stats(3)","obtain userspace SELinux AVC statistics","./man3/avc_av_stats.3.html"
"avc_cache_stats(3)","obtain userspace SELinux AVC statistics","./man3/avc_cache_stats.3.html"
"avc_cleanup(3)","userspace SELinux AVC setup and teardown","./man3/avc_cleanup.3.html"
"avc_compute_create(3)","obtain SELinux label for new object","./man3/avc_compute_create.3.html"
"avc_compute_member(3)","obtain SELinux label for new object","./man3/avc_compute_member.3.html"
"avc_context_to_sid(3)","obtain and manipulate SELinux security ID's","./man3/avc_context_to_sid.3.html"
"avc_destroy(3)","userspace SELinux AVC setup and teardown","./man3/avc_destroy.3.html"
"avc_entry_ref_init(3)","obtain and audit SELinux access decisions","./man3/avc_entry_ref_init.3.html"
"avc_get_initial_context(3)","obtain and manipulate SELinux security ID's","./man3/avc_get_initial_context.3.html"
"avc_get_initial_sid(3)","obtain and manipulate SELinux security ID's","./man3/avc_get_initial_sid.3.html"
"avc_has_perm(3)","obtain and audit SELinux access decisions","./man3/avc_has_perm.3.html"
"avc_has_perm_noaudit(3)","obtain and audit SELinux access decisions","./man3/avc_has_perm_noaudit.3.html"
"avc_init(3)","legacy userspace SELinux AVC setup","./man3/avc_init.3.html"
"avc_netlink_acquire_fd(3)","SELinux netlink processing","./man3/avc_netlink_acquire_fd.3.html"
"avc_netlink_check_nb(3)","SELinux netlink processing","./man3/avc_netlink_check_nb.3.html"
"avc_netlink_close(3)","SELinux netlink processing","./man3/avc_netlink_close.3.html"
"avc_netlink_loop(3)","SELinux netlink processing","./man3/avc_netlink_loop.3.html"
"avc_netlink_open(3)","SELinux netlink processing","./man3/avc_netlink_open.3.html"
"avc_netlink_release_fd(3)","SELinux netlink processing","./man3/avc_netlink_release_fd.3.html"
"avc_open(3)","userspace SELinux AVC setup and teardown","./man3/avc_open.3.html"
"avc_reset(3)","userspace SELinux AVC setup and teardown","./man3/avc_reset.3.html"
"avc_sid_stats(3)","obtain userspace SELinux AVC statistics","./man3/avc_sid_stats.3.html"
"avc_sid_to_context(3)","obtain and manipulate SELinux security ID's","./man3/avc_sid_to_context.3.html"
"avcstat(8)","Display SELinux AVC statistics","./man8/avcstat.8.html"
"babeltrace-log(1)","Babeltrace Log Converter","./man1/babeltrace-log.1.html"
"babeltrace(1)","Babeltrace Trace Viewer and Converter","./man1/babeltrace.1.html"
"backend(7)","cups backend transmission interfaces","./man7/backend.7.html"
